Judet,Indicativ,2016,2017,2018,2019,2020,2021
Bacau,bc,1739,2032,2255,2433,2601,2780
Botosani,bt,1571,1899,2136,2269,2409,2534
Iasi,is,1940,2278,2523,2695,2895,3107
Neamt,nt,1575,1867,2033,2204,2365,2536
Suceava ,sv,1593,1879,2092,2262,2430,2608
Vaslui,vs,1627,1942,2165,2295,2442,2613
Braila,br,1587,1827,2007,2154,2308,2470
Buzau,bz,1644,1890,2082,2242,2397,2559
Constanta,ct,1871,2095,2275,2418,2596,2786
Galati,gl,1740,2002,2133,2278,2416,2588
Tulcea,tl,1706,1928,2104,2281,2426,2589
Vrancea,vn,1556,1838,2038,2211,2376,2547
Arges,ag,2074,2339,2545,2704,2873,3050
Calarasi,cl,1624,1935,2083,2231,2373,2517
Dambovita,db,1736,2004,2220,2395,2560,2731
Giurgiu,gr,1724,1955,2180,2352,2517,2660
Ialomita,il,1579,1836,2031,2185,2340,2506
Prahova,ph,1950,2196,2384,2528,2670,2824
Teleorman,tr,1591,1831,2033,2202,2340,2487
Dolj,dj,1824,2088,2277,2451,2623,2751
Gorj,gj,1862,2108,2347,2588,2765,2958
Mehedinti,mh,1630,1978,2180,2347,2474,2600
Olt,ot,1753,2111,2346,2575,2760,2916
Valcea,vl,1601,1885,2156,2306,2487,2687
Arad,ar,1819,2104,2345,2555,2759,2966
Caras Severin,cs,1637,1978,2240,2428,2609,2799
Hunedoara,hd,1600,1925,2147,2321,2456,2597
Timis,tm,2343,2643,2969,3251,3542,3814
Bihor,bh,1563,1880,2160,2353,2549,2757
Bistrita Nasaud,bn,1587,1872,2078,2305,2551,2820
Cluj,cj,2340,2707,3095,3372,3641,3927
Maramures,mm,1572,1900,2162,2379,2556,2743
Satu Mare,sm,1659,1967,2215,2432,2624,2820
Salaj,sj,1604,1919,2164,2384,2603,2838
Alba,ab,1767,1981,2230,2415,2592,2801
Brasov,bv,2020,2337,2661,2943,3178,3445
Covasna,cv,1542,1810,2050,2216,2357,2509
Harghita,hr,1519,1776,2001,2160,2307,2464
Mures,ms,1853,2133,2420,2649,2815,3037
Sibiu,sb,2046,2348,2653,2920,3184,3485
Ilfov,if,2380,2602,2831,3094,3349,3615
Bucuresti,b,2925,3304,3639,3957,4264,4589
