Indicativ,Judet,Media
b,Bucuresti,3779.6666666666665
cj,Cluj,3180.3333333333335
tm,Timis,3093.6666666666665
if,Ilfov,2978.5
sb,Sibiu,2772.6666666666665
bv,Brasov,2764.0
ag,Arges,2597.5
is,Iasi,2573.0
ms,Mures,2484.5
gj,Gorj,2438.0
ph,Prahova,2425.3333333333335
ar,Arad,2424.6666666666665
ot,Olt,2410.1666666666665
ct,Constanta,2340.1666666666665
dj,Dolj,2335.6666666666665
bc,Bacau,2306.6666666666665
ab,Alba,2297.6666666666665
sm,Satu Mare,2286.1666666666665
cs,Caras Severin,2281.8333333333335
db,Dambovita,2274.3333333333335
sj,Salaj,2252.0
gr,Giurgiu,2231.3333333333335
mm,Maramures,2218.6666666666665
bh,Bihor,2210.3333333333335
bn,Bistrita Nasaud,2202.1666666666665
mh,Mehedinti,2201.5
gl,Galati,2192.8333333333335
vl,Valcea,2187.0
vs,Vaslui,2180.6666666666665
hd,Hunedoara,2174.3333333333335
tl,Tulcea,2172.3333333333335
sv,Suceava ,2144.0
bt,Botosani,2136.3333333333335
bz,Buzau,2135.6666666666665
cl,Calarasi,2127.1666666666665
nt,Neamt,2096.6666666666665
vn,Vrancea,2094.3333333333335
cv,Covasna,2080.6666666666665
tr,Teleorman,2080.6666666666665
il,Ialomita,2079.5
br,Braila,2058.8333333333335
hr,Harghita,2037.8333333333333
