Siruta,Localitate,Barbati_25-34,Barbati_35-44,Barbati_45-64,Barbati_65_,Femei_18-24,Femei_35-44,Femei_45-64,Femei_65_,
1017,Municipiul Alba Iulia,11.142,3.412,0.371415,0.032415,0.148566,0.0074283,0.01114245,37.1415,
1071,Ciugud,0.447,0.44745,1.4915,1.4915,20,0.2983,0.44745,0.0145,
1151,Oras Abrud,0.826,0.82695,2.7565,2.7565,11.026,0.5513,0.82695,2.7565,
1213,Municipiul Aiud,3.947,3.9477,13.159,13.159,52.636,2.6318,3.9477,13.159,
1348,Municipiul Blaj,3.149,3.1491,10.497,10.497,41.988,2.0994,3.1491,10.497,
1455,Oras Campeni,1.144,1.14435,3.8145,3.8145,15.258,0.7629,1.14435,3.8145,
1696,Oras Cugir,4.0152,4.0152,13.384,13.384,53.536,2.6768,4.0152,13.384,
1794,Oras Ocna Mures,2.19615,2.19615,7.3205,7.3205,29.282,1.4641,2.19615,7.3205,
1874,Municipiul Sebes,4.8828,4.8828,16.276,16.276,65.104,3.2552,4.8828,16.276,
1936,Oras Zlatna,1.1961,1.1961,3.987,3.987,15.948,0.7974,1.1961,3.987,
2130,Albac,0.3189,0.3189,1.063,1.063,4.252,0.2126,0.3189,1.063,
2309,Almasu Mare,0.19305,0.19305,0.6435,0.6435,2.574,0.1287,0.19305,0.6435,
2381,Arieseni,0.2583,0.2583,0.861,0.861,3.444,0.1722,0.2583,0.861,
2577,Avram Iancu,0.234,0.234,0.78,0.78,3.12,0.156,0.234,0.78,
2915,Oras Baia De Aries,0.6114,0.6114,2.038,2.038,8.152,100,0.6114,2.038,
2988,Berghin,0.30855,0.30855,1.0285,1.0285,4.114,0.2057,0.30855,1.0285,
3039,Bistra,0.72585,0.72585,2.4195,2.4195,9.678,0.4839,0.72585,2.4195,
3397,Blandiana,0.1422,0.1422,0.474,0.474,1.896,0.0948,0.1422,0.474,
3459,Bucium,0.2295,0.2295,0.765,0.765,3.06,0.153,0.2295,0.765,
3761,Cenade,0.14745,0.14745,0.4915,0.4915,1.966,0.0983,0.14745,0.4915,
3805,Cergau,0.2442,0.2442,0.814,0.814,3.256,0.1628,0.2442,0.814,
3841,Ceru-Bacainti,0.03855,0.03855,0.1285,0.1285,0.514,0.0257,0.03855,0.1285,
3958,Cetatea De Balta,0.47625,0.47625,1.5875,1.5875,6.35,0.3175,0.47625,1.5875,
4008,Ciuruleasa,0.1797,0.1797,0.599,0.599,2.396,0.1198,0.1797,0.599,
4106,Calnic,0.282,0.282,0.94,0.94,3.76,0.188,0.282,0.94,
4142,Cricau,0.3168,0.3168,1.056,1.056,4.224,0.2112,0.3168,1.056,
4188,Craciunelu De Jos,0.3222,0.3222,1.074,1.074,4.296,0.2148,0.3222,1.074,
4240,Daia Romana,0.4725,0.4725,1.575,1.575,6.3,0.315,0.4725,1.575,
4268,Dostat,0.14985,0.14985,0.4995,0.4995,1.998,0.0999,0.14985,0.4995,
4302,Farau,0.24345,0.24345,0.8115,0.8115,3.246,0.1623,0.24345,0.8115,
4366,Galda De Jos,0.6612,0.6612,2.204,2.204,8.816,0.4408,0.6612,2.204,
4482,Garbova,0.31785,0.31785,1.0595,1.0595,4.238,0.2119,0.31785,1.0595,
4525,Garda De Sus,0.2544,0.2544,0.848,0.848,3.392,0.1696,0.2544,0.848,
4703,Hoparta,0.17955,0.17955,0.5985,0.5985,2.394,0.1197,0.17955,0.5985,
4767,Horea,0.3153,0.3153,1.051,1.051,4.204,0.2102,0.3153,1.051,
4927,Ighiu,1.03005,1.03005,3.4335,3.4335,13.734,0.6867,1.03005,3.4335,
4981,Intregalde,0.09405,0.09405,0.3135,0.3135,1.254,0.0627,0.09405,0.3135,
5103,Jidvei,0.79635,0.79635,2.6545,2.6545,10.618,0.5309,0.79635,2.6545,
5167,Livezile,0.19065,0.19065,0.6355,0.6355,2.542,0.1271,0.19065,0.6355,
5210,Lopadea Noua,0.4074,0.4074,1.358,1.358,5.432,0.2716,0.4074,1.358,
5309,Lunca Muresului,0.3825,0.3825,1.275,1.275,5.1,0.255,0.3825,1.275,
5336,Lupsa,0.4761,0.4761,1.587,1.587,6.348,0.3174,0.4761,1.587,
5577,Metes,0.42495,0.42495,1.4165,1.4165,5.666,0.2833,0.42495,1.4165,
5700,Mihalt,0.49185,0.49185,1.6395,1.6395,6.558,0.3279,0.49185,1.6395,
5755,Miraslau,0.3183,0.3183,1.061,1.061,4.244,0.2122,0.3183,1.061,
